date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:41:45	90312/90312	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/2018/02/the-eye-of-mona-lisa-ustaz-auni-mohamad.html	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/2018/02/the-eye-of-mona-lisa-ustaz-auni-mohamad.html	(from https://koleksiustazauni.blogspot.com/)
17:41:47	92177/92177	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/2018/02/yahudi-templar-dan-freemason-ustaz-auni.html	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/2018/02/yahudi-templar-dan-freemason-ustaz-auni.html	(from https://koleksiustazauni.blogspot.com/)
17:41:49	90393/90393	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/2018/02/inilah-yakjuj-makjuj-yang-sebenarnya.html	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/2018/02/inilah-yakjuj-makjuj-yang-sebenarnya.html	(from https://koleksiustazauni.blogspot.com/)
17:41:50	167061/167061	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/2018/	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/2018/index.html	(from https://koleksiustazauni.blogspot.com/)
17:41:51	167129/167129	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/2018/02/	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/2018/02/index.html	(from https://koleksiustazauni.blogspot.com/)
17:41:51	167226/167226	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/2018_02_13_archive.html	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/2018_02_13_archive.html	(from https://koleksiustazauni.blogspot.com/)
17:41:52	135548/135548	---M--	200	added ('OK')	text/javascript	date:Tue,%2009%20Jul%202024%2008:55:19%20GMT	https://resources.blogblog.com/blogblog/data/res/3236017956-vegeclub_compiled.js	C:/islamic%20figure/kuliah/resources.blogblog.com/blogblog/data/res/3236017956-vegeclub_compiled.js	(from https://koleksiustazauni.blogspot.com/)
17:41:53	144084/144084	---M--	200	added ('OK')	text/javascript	date:Mon,%2008%20Jul%202024%2019:57:04%20GMT	https://www.blogger.com/static/v1/widgets/3399699925-widgets.js	C:/islamic%20figure/kuliah/www.blogger.com/static/v1/widgets/3399699925-widgets.js	(from https://koleksiustazauni.blogspot.com/)
17:41:54	1375/1375	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://koleksiustazauni.blogspot.com/feeds/6807489276750949243/comments/default	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/feeds/6807489276750949243/comments/default	(from https://koleksiustazauni.blogspot.com/2018/02/kisah-nabi-idris-akhnukh-ustaz-auni.html)
17:41:55	32979/32979	---M--	200	added ('OK')	image/jpeg	etag:%221647264425%22	https://i.ytimg.com/vi/H34X6OE7j4U/hqdefault.jpg	C:/islamic%20figure/kuliah/i.ytimg.com/vi/H34X6OE7j4U/hqdefault.jpg	(from https://koleksiustazauni.blogspot.com/2018/02/kisah-nabi-idris-akhnukh-ustaz-auni.html)
17:41:56	1/1	---MC-	200	added ('OK')	text/css	date:Tue,%2009%20Jul%202024%2009:41:58%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=7411559109546591575&zx=5e5c786a-6854-4d46-83bb-96e61239bf56	C:/islamic%20figure/kuliah/www.blogger.com/dyn-css/authorization3ef5.css	(from https://koleksiustazauni.blogspot.com/2018/02/kisah-nabi-idris-akhnukh-ustaz-auni.html)
17:41:57	75056/75056	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Jul%202024%2009:42:00%20GMT	https://koleksiustazauni.blogspot.com/2018/02/https	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/2018/02/https.17.delayed	(from https://koleksiustazauni.blogspot.com/2018/02/kisah-nabi-idris-akhnukh-ustaz-auni.html)
